"customer_id","first_name","last_name","email","rentals_number"
148,"Eleanor","Hunt","eleanor.hunt@sakilacustomer.org","46"
526,"Karl","Seal","karl.seal@sakilacustomer.org","45"
144,"Clara","Shaw","clara.shaw@sakilacustomer.org","42"
236,"Marcia","Dean","marcia.dean@sakilacustomer.org","42"
75,"Tammy","Sanders","tammy.sanders@sakilacustomer.org","41"
469,"Wesley","Bull","wesley.bull@sakilacustomer.org","40"
197,"Sue","Peters","sue.peters@sakilacustomer.org","40"
468,"Tim","Cary","tim.cary@sakilacustomer.org","39"
137,"Rhonda","Kennedy","rhonda.kennedy@sakilacustomer.org","39"
178,"Marion","Snyder","marion.snyder@sakilacustomer.org","39"
